#,Company,Type,Cyprus,Founder,LinkedIn_URL,Ver,Intro
1,Zubr Capital,VC,да,Oleg,"https://www.linkedin.com/search/results/people/?keywords=Zubr%20Capital%20founder",10,"Олег, добрый день! Мечтаю работать именно в Zubr — запускала стартапы, студию, много с фаундерами. Хочу в VC, готова помогать со скаутингом. 15 мин интро?"
2,The Untitled Ventures,VC,нет,Konstantin Siniushin; Anton Antich,https://www.linkedin.com/search/results/people/?keywords=Konstantin%20Siniushin%20Untitled,10,"Константин/Антон, привет! Ваш мост Eastern Europe ↔ EU очень близок — у меня студия 15+ продуктов и опыт fundraising. Хочу в венчур: BD, портфель, скаутинг. Короткий звонок?"
3,DOMiNO Ventures,VC,нет,Founder,https://www.linkedin.com/search/results/people/?keywords=DOMiNO%20Ventures%20founder,9,"Добрый день! Фокус на lean teams и CEE — у меня как раз такой бэкграунд. Запускала стартап, привлекала инвестиции, студия 15+ продуктов. Могу помочь со скаутингом и BD. 15 мин?"
4,Redseed,VC,нет,Founder,https://www.linkedin.com/search/results/people/?keywords=Redseed%20VC%20founder,9,"Привет! Нравятся быстрые term sheet и фокус на US/Africa/Emerging Europe. Есть опыт fundraising и работы с фаундерами — хочу в VC, скаутинг/analyst. Познакомиться?"
5,Social Discovery Ventures,VC,нет,Alexey Plesakov; Alexander Lis,https://www.linkedin.com/search/results/people/?keywords=Alexey%20Plesakov%20Social%20Discovery,9,"Алексей, добрый день! SDV и глобальные сделки — то, куда хочу приложить опыт: свой стартап, студия, 15+ продуктов. Готова к скаутингу и работе с портфелем. 15 мин интро?"
6,0100 Ventures,VC,да,Founder,https://www.linkedin.com/search/results/people/?keywords=0100%20Ventures%20founder%20Cyprus,9,"Привет! Venture builder на Кипре — идеально под мой опыт: свои стартапы, студия, CEE. Хочу в венчур: скаутинг, BD, работа с портфелем. Короткий звонок?"
7,Runa Capital,VC,нет,Dmitry Chikhachev; Ilya Zubarev,https://www.linkedin.com/search/results/people/?keywords=Dmitry%20Chikhachev%20Runa,8,"Дмитрий/Илья, добрый день! Deep tech и fintech Runa — то, где могу быть полезна: PM/BD, опыт fundraising и студии. Буду рада 15 мин, чтобы рассказать, чем могу помочь фонду."
8,Almaz Capital,VC,нет,Founder,https://www.linkedin.com/search/results/people/?keywords=Almaz%20Capital%20founder,8,"Добрый день! Early-stage и enterprise — мой профиль: продукт, BD, работа со стартапами. Запускала свой стартап и студию. Хочу в VC. Короткое интро?"
9,Digital Horizon,VC,нет,Founder,https://www.linkedin.com/search/results/people/?keywords=Digital%20Horizon%20VC%20founder,8,"Привет! Growth и международная экспансия — то, чем занималась в своих проектах. Ищу роль в VC: BD, analyst, работа с портфелем. 15 мин?"
10,Keen Venture Partners,VC,нет,Founder,https://www.linkedin.com/search/results/people/?keywords=Keen%20Venture%20Partners%20founder,8,"Добрый день! B2B SaaS и Europe — совпадает с моим опытом (продукт, BD, студия). Хочу перейти в венчур, помочь со скаутингом. Буду рада короткому звонку."
11,Flashpoint,VC,нет,Founder,https://www.linkedin.com/search/results/people/?keywords=Flashpoint%20VC%20founder,7,"Привет! CEE и venture growth — интересно. Есть опыт fundraising и работы с фаундерами в студии. Ищу возможность в VC или в портфеле. 15 мин интро?"
12,Fluently (YC W24),Стартап,нет,Yurii Rebryk; Stanislav Beliaev,https://www.linkedin.com/search/results/people/?keywords=Yurii%20Rebryk%20Fluently,10,"Юрий/Станислав, привет! AI для английского на звонках — в тему моего C1 и продукта. Запускала стартап, студию, growth. Ищу PM/growth/BD. 15 мин?"
