#,Company,Sector,LinkedIn_Founder_or_HR
1,Exness,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=Exness%20HR%20Cyprus
2,Wargaming,Gaming,https://www.linkedin.com/search/results/people/?keywords=Wargaming%20HR%20Limassol
3,Amdocs,Telecom / Software,https://www.linkedin.com/search/results/people/?keywords=Amdocs%20HR%20Cyprus
4,3CX,Telecom / UC,https://www.linkedin.com/search/results/people/?keywords=3CX%20founder%20CEO
5,Bolt,Mobility / Super-app,https://www.linkedin.com/search/results/people/?keywords=Bolt%20HR%20Cyprus
6,Capital.com,Fintech,https://www.linkedin.com/search/results/people/?keywords=Capital.com%20HR%20Limassol
7,Nexters,Gaming,https://www.linkedin.com/search/results/people/?keywords=Nexters%20HR%20founder
8,Easybrain,Gaming,https://www.linkedin.com/search/results/people/?keywords=Easybrain%20HR%20Limassol
9,IQ Option,Fintech / Trading,https://www.linkedin.com/search/results/people/?keywords=IQ%20Option%20founder%20HR
10,FxPro,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=FxPro%20HR%20Cyprus
11,Admirals,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=Admirals%20HR%20Cyprus
12,BDSwiss,Fintech,https://www.linkedin.com/search/results/people/?keywords=BDSwiss%20HR%20Cyprus
13,easyMarkets,Fintech,https://www.linkedin.com/search/results/people/?keywords=easyMarkets%20HR%20Cyprus
14,Quadcode,Fintech / Brokerage,https://www.linkedin.com/search/results/people/?keywords=Quadcode%20founder%20HR%20Cyprus
15,BridgerPay,Fintech / Payments,https://www.linkedin.com/search/results/people/?keywords=BridgerPay%20founder%20HR
16,SOFTSWISS,iGaming / Software,https://www.linkedin.com/search/results/people/?keywords=SOFTSWISS%20HR%20Cyprus
17,payabl.,Fintech / Payments,https://www.linkedin.com/search/results/people/?keywords=payabl%20HR%20Cyprus
18,Finery Markets,Fintech / Digital assets,https://www.linkedin.com/search/results/people/?keywords=Finery%20Markets%20founder
19,Investing.com,Fintech / Media,https://www.linkedin.com/search/results/people/?keywords=Investing.com%20HR%20Cyprus
20,IronFX,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=IronFX%20HR%20Cyprus
21,MetaQuotes,Fintech / Software,https://www.linkedin.com/search/results/people/?keywords=MetaQuotes%20HR%20Cyprus
22,Orbex,Fintech / Forex,https://www.linkedin.com/search/results/people/?keywords=Orbex%20HR%20Cyprus
23,Melsoft Games,Gaming,https://www.linkedin.com/search/results/people/?keywords=Melsoft%20HR%20Cyprus
24,Belka Games,Gaming,https://www.linkedin.com/search/results/people/?keywords=Belka%20Games%20HR%20founder
25,Aleph Group,AdTech / Digital,https://www.linkedin.com/search/results/people/?keywords=Aleph%20Group%20HR%20Cyprus
26,Adsterra,AdTech,https://www.linkedin.com/search/results/people/?keywords=Adsterra%20founder%20HR
27,AdTech Holding,AdTech,https://www.linkedin.com/search/results/people/?keywords=AdTech%20Holding%20founder%20Cyprus
28,Aitarget,AdTech,https://www.linkedin.com/search/results/people/?keywords=Aitarget%20founder%20HR
29,0100 Ventures,VC / Venture builder,https://www.linkedin.com/search/results/people/?keywords=0100%20Ventures%20founder
30,BrainRocket,Software / IT,https://www.linkedin.com/search/results/people/?keywords=BrainRocket%20HR%20Cyprus
31,NCR Voyix,Tech / Retail,https://www.linkedin.com/search/results/people/?keywords=NCR%20HR%20Cyprus
32,Thomson Reuters,Media / Data,https://www.linkedin.com/search/results/people/?keywords=Thomson%20Reuters%20HR%20Cyprus
33,Murex,Fintech / Software,https://www.linkedin.com/search/results/people/?keywords=Murex%20HR%20Cyprus
34,AEON Payment Technologies,Payments,https://www.linkedin.com/search/results/people/?keywords=AEON%20Payment%20founder%20Cyprus
35,A.E. Prognosys Solutions,Fintech / Compliance,https://www.linkedin.com/search/results/people/?keywords=Prognosys%20Solutions%20founder
36,Binaro,Software / Design,https://www.linkedin.com/search/results/people/?keywords=Binaro%20founder%20Nicosia
37,Centro (Ortnec),Product / Development,https://www.linkedin.com/search/results/people/?keywords=Ortnec%20Centro%20founder
38,Cedar Games,Gaming,https://www.linkedin.com/search/results/people/?keywords=Cedar%20Games%20founder
39,Colossi Games,Gaming,https://www.linkedin.com/search/results/people/?keywords=Colossi%20Games%20founder
40,Brickworks Games,Gaming,https://www.linkedin.com/search/results/people/?keywords=Brickworks%20Games%20founder
41,Bridgeapp.ai,SaaS / Workspace,https://www.linkedin.com/search/results/people/?keywords=Bridgeapp.ai%20founder
42,Covve,SaaS / CRM,https://www.linkedin.com/search/results/people/?keywords=Covve%20founder%20Cyprus
43,CallCTO,IT / Consulting,https://www.linkedin.com/search/results/people/?keywords=CallCTO%20founder
