source,company,location,team_size,url,linkedin_search
YC,ShipBob,"Chicago, IL, USA",1,https://www.ycombinator.com/companies/shipbob,https://www.linkedin.com/search/results/people/?keywords=ShipBob%20founder
YC,Blink,"San Francisco, CA, USA",1,https://www.ycombinator.com/companies/blink-new,https://www.linkedin.com/search/results/people/?keywords=Blink%20founder
YC,Star,"Monterey, CA, USA; Remote",1,https://www.ycombinator.com/companies/star,https://www.linkedin.com/search/results/people/?keywords=Star%20founder
YC,Event Horizon Labs,"San Francisco, CA, USA",1,https://www.ycombinator.com/companies/event-horizon-labs,https://www.linkedin.com/search/results/people/?keywords=Event%20Horizon%20Labs%20founder
YC,Haplotype Labs,Remote,1,https://www.ycombinator.com/companies/haplotype-labs,https://www.linkedin.com/search/results/people/?keywords=Haplotype%20Labs%20founder
YC,Stamp,,1,https://www.ycombinator.com/companies/stamp,https://www.linkedin.com/search/results/people/?keywords=Stamp%20founder
YC,PgDog,Remote,1,https://www.ycombinator.com/companies/pgdog,https://www.linkedin.com/search/results/people/?keywords=PgDog%20founder
YC,Nozomio,,1,https://www.ycombinator.com/companies/nozomio,https://www.linkedin.com/search/results/people/?keywords=Nozomio%20founder
YC,Scout Out,"San Francisco, CA, USA",1,https://www.ycombinator.com/companies/scout-out,https://www.linkedin.com/search/results/people/?keywords=Scout%20Out%20founder
YC,SafeButler,"Palo Alto, CA, USA; Sunnyvale, CA, USA",2,https://www.ycombinator.com/companies/safebutler,https://www.linkedin.com/search/results/people/?keywords=SafeButler%20founder
YC,Sapling.ai,"San Francisco, CA, USA; Los Angeles, CA, USA",2,https://www.ycombinator.com/companies/sapling-ai,https://www.linkedin.com/search/results/people/?keywords=Sapling.ai%20founder
YC,Dataland,"New York, NY, USA",2,https://www.ycombinator.com/companies/dataland,https://www.linkedin.com/search/results/people/?keywords=Dataland%20founder
YC,Auricle,"Mountain View, CA, USA; Oakland, CA, USA",2,https://www.ycombinator.com/companies/auricle,https://www.linkedin.com/search/results/people/?keywords=Auricle%20founder
YC,Rulebricks,"Los Altos, CA, USA",2,https://www.ycombinator.com/companies/rulebricks,https://www.linkedin.com/search/results/people/?keywords=Rulebricks%20founder
YC,Patterns,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/patterns,https://www.linkedin.com/search/results/people/?keywords=Patterns%20founder
YC,Bree,"Vancouver, BC, Canada",2,https://www.ycombinator.com/companies/bree,https://www.linkedin.com/search/results/people/?keywords=Bree%20founder
YC,Anja Health,"Los Angeles, CA, USA; Remote",2,https://www.ycombinator.com/companies/anja-health,https://www.linkedin.com/search/results/people/?keywords=Anja%20Health%20founder
YC,Feather,"Seattle, WA, USA; Remote",2,https://www.ycombinator.com/companies/feather-2,https://www.linkedin.com/search/results/people/?keywords=Feather%20founder
YC,Delfino AI,"San Francisco, CA, USA; Remote",2,https://www.ycombinator.com/companies/delfino-ai,https://www.linkedin.com/search/results/people/?keywords=Delfino%20AI%20founder
YC,Mercoa,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/mercoa,https://www.linkedin.com/search/results/people/?keywords=Mercoa%20founder
YC,Pair AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/pair-ai,https://www.linkedin.com/search/results/people/?keywords=Pair%20AI%20founder
YC,Glass Health,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/glass-health,https://www.linkedin.com/search/results/people/?keywords=Glass%20Health%20founder
YC,Storyboarder,"New York, NY, USA; Remote",2,https://www.ycombinator.com/companies/storyboarder,https://www.linkedin.com/search/results/people/?keywords=Storyboarder%20founder
YC,ClickPe,"Surat, GJ, India",2,https://www.ycombinator.com/companies/clickpe,https://www.linkedin.com/search/results/people/?keywords=ClickPe%20founder
YC,Finic,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/finic,https://www.linkedin.com/search/results/people/?keywords=Finic%20founder
YC,Constant,,2,https://www.ycombinator.com/companies/constant,https://www.linkedin.com/search/results/people/?keywords=Constant%20founder
YC,Persana AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/persana-ai,https://www.linkedin.com/search/results/people/?keywords=Persana%20AI%20founder
YC,LiteLLM,,2,https://www.ycombinator.com/companies/litellm,https://www.linkedin.com/search/results/people/?keywords=LiteLLM%20founder
YC,Finta,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/finta,https://www.linkedin.com/search/results/people/?keywords=Finta%20founder
YC,Leafpress,,2,https://www.ycombinator.com/companies/leafpress,https://www.linkedin.com/search/results/people/?keywords=Leafpress%20founder
YC,Diligent,"Berlin, Berlin, Germany",2,https://www.ycombinator.com/companies/diligent,https://www.linkedin.com/search/results/people/?keywords=Diligent%20founder
YC,Egress Health,,2,https://www.ycombinator.com/companies/egress-health,https://www.linkedin.com/search/results/people/?keywords=Egress%20Health%20founder
YC,Osium AI,"Paris, Île-de-France, France",2,https://www.ycombinator.com/companies/osium-ai,https://www.linkedin.com/search/results/people/?keywords=Osium%20AI%20founder
YC,Roame,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/roame,https://www.linkedin.com/search/results/people/?keywords=Roame%20founder
YC,Martin,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/martin,https://www.linkedin.com/search/results/people/?keywords=Martin%20founder
YC,Relari,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/relari,https://www.linkedin.com/search/results/people/?keywords=Relari%20founder
YC,"Argon AI, Inc.",,2,https://www.ycombinator.com/companies/argon-ai-inc,https://www.linkedin.com/search/results/people/?keywords=Argon%20AI%2C%20Inc.%20founder
YC,Ellipsis,,2,https://www.ycombinator.com/companies/ellipsis,https://www.linkedin.com/search/results/people/?keywords=Ellipsis%20founder
YC,Andy AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/andy-ai,https://www.linkedin.com/search/results/people/?keywords=Andy%20AI%20founder
YC,Deep24,,2,https://www.ycombinator.com/companies/deep24,https://www.linkedin.com/search/results/people/?keywords=Deep24%20founder
YC,Roger,,2,https://www.ycombinator.com/companies/roger-2,https://www.linkedin.com/search/results/people/?keywords=Roger%20founder
YC,Stardrift,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/stardrift,https://www.linkedin.com/search/results/people/?keywords=Stardrift%20founder
YC,Tivara,,2,https://www.ycombinator.com/companies/tivara,https://www.linkedin.com/search/results/people/?keywords=Tivara%20founder
YC,Substrate,Remote,2,https://www.ycombinator.com/companies/substrate,https://www.linkedin.com/search/results/people/?keywords=Substrate%20founder
YC,Mage Legal,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/mage-legal,https://www.linkedin.com/search/results/people/?keywords=Mage%20Legal%20founder
YC,Mineflow,,2,https://www.ycombinator.com/companies/mineflow,https://www.linkedin.com/search/results/people/?keywords=Mineflow%20founder
YC,Cerulion,,2,https://www.ycombinator.com/companies/cerulion,https://www.linkedin.com/search/results/people/?keywords=Cerulion%20founder
YC,Simple AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/simple-ai,https://www.linkedin.com/search/results/people/?keywords=Simple%20AI%20founder
YC,Sonatoria,,2,https://www.ycombinator.com/companies/sonatoria,https://www.linkedin.com/search/results/people/?keywords=Sonatoria%20founder
YC,Onlook,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/onlook,https://www.linkedin.com/search/results/people/?keywords=Onlook%20founder
YC,Candle,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/candle,https://www.linkedin.com/search/results/people/?keywords=Candle%20founder
YC,Smooth,,2,https://www.ycombinator.com/companies/smooth,https://www.linkedin.com/search/results/people/?keywords=Smooth%20founder
YC,Unusual,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/unusual,https://www.linkedin.com/search/results/people/?keywords=Unusual%20founder
YC,Fresco,,2,https://www.ycombinator.com/companies/fresco,https://www.linkedin.com/search/results/people/?keywords=Fresco%20founder
YC,Ryvn,"New York, NY, USA",2,https://www.ycombinator.com/companies/ryvn,https://www.linkedin.com/search/results/people/?keywords=Ryvn%20founder
YC,Synth,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/synth-3,https://www.linkedin.com/search/results/people/?keywords=Synth%20founder
YC,Enhanced Radar,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/enhanced-radar,https://www.linkedin.com/search/results/people/?keywords=Enhanced%20Radar%20founder
YC,Hey Telo,,2,https://www.ycombinator.com/companies/hey-telo,https://www.linkedin.com/search/results/people/?keywords=Hey%20Telo%20founder
YC,Axiom,,2,https://www.ycombinator.com/companies/axiom,https://www.linkedin.com/search/results/people/?keywords=Axiom%20founder
YC,Rocketable,Remote,2,https://www.ycombinator.com/companies/rocketable,https://www.linkedin.com/search/results/people/?keywords=Rocketable%20founder
YC,ZeroEntropy,,2,https://www.ycombinator.com/companies/zeroentropy,https://www.linkedin.com/search/results/people/?keywords=ZeroEntropy%20founder
YC,Cuckoo Labs,,2,https://www.ycombinator.com/companies/cuckoo-labs,https://www.linkedin.com/search/results/people/?keywords=Cuckoo%20Labs%20founder
YC,Olive,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/olive,https://www.linkedin.com/search/results/people/?keywords=Olive%20founder
YC,Macadamia,,2,https://www.ycombinator.com/companies/macadamia,https://www.linkedin.com/search/results/people/?keywords=Macadamia%20founder
YC,Waypoint Transit,,2,https://www.ycombinator.com/companies/waypoint-transit,https://www.linkedin.com/search/results/people/?keywords=Waypoint%20Transit%20founder
YC,Karsa,"New York, NY, USA",2,https://www.ycombinator.com/companies/karsa,https://www.linkedin.com/search/results/people/?keywords=Karsa%20founder
YC,Orbital Operations,,2,https://www.ycombinator.com/companies/orbital-operations,https://www.linkedin.com/search/results/people/?keywords=Orbital%20Operations%20founder
YC,Atlog,"New York, NY, USA",2,https://www.ycombinator.com/companies/atlog,https://www.linkedin.com/search/results/people/?keywords=Atlog%20founder
YC,ThirdLayer,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/thirdlayer,https://www.linkedin.com/search/results/people/?keywords=ThirdLayer%20founder
YC,Ambral,,2,https://www.ycombinator.com/companies/ambral,https://www.linkedin.com/search/results/people/?keywords=Ambral%20founder
YC,Wayline,,2,https://www.ycombinator.com/companies/wayline,https://www.linkedin.com/search/results/people/?keywords=Wayline%20founder
YC,Chestnut,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/chestnut,https://www.linkedin.com/search/results/people/?keywords=Chestnut%20founder
