Rank,Company,Type,Cyprus,Founder,Ver,Why,LinkedIn_URL,Intro
1,Zubr Capital,VC,да,Oleg (партнёры),10,маленькая команда / ранняя стадия; Кипр → релокация; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Zubr%20Capital%20founder,"Олег, добрый день! Мечтаю работать именно в Zubr — запускала стартапы, студию, много с фаундерами. Хочу в VC, готова помогать со скаутингом. 15 мин интро?"
2,The Untitled Ventures,VC,нет,"Konstantin Siniushin, Anton Antich",10,маленькая команда / ранняя стадия; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Konstantin%20Siniushin%20Untitled,"Константин/Антон, привет! Ваш мост Eastern Europe ↔ EU очень близок — у меня студия 15+ продуктов и опыт fundraising. Хочу в венчур: BD, портфель, скаутинг. Короткий звонок?"
3,Fluently (YC W24),Стартап,нет,"Yurii Rebryk, Stanislav Beliaev",10,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Yurii%20Rebryk%20Fluently,"Юрий/Станислав, привет! AI для английского на звонках — в тему моего C1 и продукта. Запускала стартап, студию, growth. Ищу PM/growth/BD. 15 мин?"
4,Immigram,Стартап,нет,"Anastasia Mirolyubova, Mikhail Sharonov",10,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Anastasia%20Mirolyubova%20Immigram,"Анастасия/Михаил, добрый день! Релокация и IT — знаю изнутри. Опыт BD, sales, операционки в своих проектах. Чем могу быть полезна Immigram? Короткий звонок?"
5,GPT4Telegrambot,Стартап,нет,Pavel Belov,10,"маленькая команда / ранняя стадия; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Pavel%20Belov%20Telegram%20bot,"Павел, привет! Tg + AI и 12M users — супер. У меня глубокий опыт в Telegram и продукте. Хочу обсудить PM/BD или partnerships. 15 мин?"
6,0100 Ventures,VC,да,Founder,9,маленькая команда / ранняя стадия; Кипр → релокация; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=0100%20Ventures%20founder%20Cyprus,"Привет! Venture builder на Кипре — идеально под мой опыт: свои стартапы, студия, CEE. Хочу в венчур: скаутинг, BD, работа с портфелем. Короткий звонок?"
7,Quadcode,Стартап,да,Founder,9,"маленькая команда / ранняя стадия; Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=Quadcode%20founder%20Cyprus,"Добрый день! Брокераж и Лимассол — хочу в такую команду. Опыт BD, продукт, студия. Чем могу быть полезна Quadcode? 15 мин интро?"
8,BridgerPay,Стартап,да,Founder,9,"маленькая команда / ранняя стадия; Кипр → релокация; продукт глобал, фаундер по имени",https://www.linkedin.com/search/results/people/?keywords=BridgerPay%20founder,"Привет! Payments и 500+ бизнесов — релевантно моему BD/partnerships опыту. Запускала стартап, студию. Буду рада короткому звонку."
9,DOMiNO Ventures,VC,нет,Founder,9,маленькая команда / ранняя стадия; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=DOMiNO%20Ventures%20founder,"Добрый день! Фокус на lean teams и CEE — у меня как раз такой бэкграунд. Запускала стартап, привлекала инвестиции, студия 15+ продуктов. Могу помочь со скаутингом и BD. 15 мин?"
10,Redseed,VC,нет,Founder,9,маленькая команда / ранняя стадия; VC → скаутинг/BD в тему,https://www.linkedin.com/search/results/people/?keywords=Redseed%20VC%20founder,"Привет! Нравятся быстрые term sheet и фокус на US/Africa/Emerging Europe. Есть опыт fundraising и работы с фаундерами — хочу в VC, скаутинг/analyst. Познакомиться?"
